,0,1,2,3,4,5,6,7,8,9
BCUT2D_LOGPHI,0.10743076656179691,0.020651950746194414,0.026107665836094408,0.03882636125657091,0.04857977704530528,0.03339541469465509,0.2703572510039902,0.05632351445890563,0.5164332206642808,0.10383319712186255
BCUT2D_LOGPLOW,0.07218084436392731,0.1516049933355926,0.12056610077104225,0.107930471982868,0.10470796719326933,0.07731250169530708,0.0897854285042452,0.15113012845273135,0.13898078134137457,0.36670260543162936
BCUT2D_MRHI,0.2333849634060794,0.07976935829568942,0.0795685029735829,0.15590949124657025,0.06872874733263343,0.14053150303247813,0.19599030710957882,0.08156361029324755,0.35226624077630103,0.1794549773096405
BCUT2D_MRLOW,0.5164483596678804,0.9166716672056955,3.1304607056325504,0.6621093984569681,0.8655803376824858,0.5732972312222847,0.704881242400968,0.6228453233703269,1.6195446469485868,0.3798481738569696
BalabanJ,0.09162255831942591,0.15348706127682582,0.08011307526537265,0.08048752440276508,0.06997607714245208,0.21885107374765558,0.09157381166631288,0.12562211068194173,0.683700518453825,0.18399543535393723
BertzCT,0.0917938618537586,0.23345504011088097,0.06533139719230141,0.1569846998757822,0.12965013422985017,0.3338891335087879,0.12781689233582325,0.09090820841206367,0.1528793025532206,0.16708998026493146
Chi0,0.06446700898172719,0.02852967945991506,0.03765367730052994,0.05224430123220532,0.027989511209750892,0.016323987312378718,0.01716990276046748,0.03428374685347713,0.022771280892234482,0.012093789267531931
Chi0n,0.03407444483838575,0.016340761745349815,0.021361809630390107,0.05153486589204766,0.026180707259433958,0.046657437076577934,0.036254759042032486,0.02166362310945208,0.08396034462841627,0.042380205415539995
Chi0v,0.06079485673308352,0.108224917416141,0.0654451479489152,0.15994799168888185,0.05935488620564563,0.02974933396814183,0.02432579284796868,0.017584876249157555,0.047766856495860543,0.03794443995202045
Chi1,0.056537906472531464,0.06576038053893374,0.013472219807301788,0.04818182285087672,0.05061498312750273,0.03919628996758475,0.04816370288327253,0.016802481452200528,0.03836449462880976,0.01569790807074013
Chi1n,0.053343867038368645,0.03449306347160545,0.05424159795484801,0.03076578537217932,0.06427310515578114,0.04910742128979429,0.07270234933473016,0.19345719992499114,0.020300467788255564,0.027448984485861742
Chi1v,0.03352105856363237,0.04139289531916451,0.052388879461898435,0.05213361500054025,0.098163803174486,0.05919188022645202,0.1142690055918099,0.196345789456842,0.0481625126138106,0.02665696453659039
Chi2n,0.04863959362641758,0.01616920255308244,0.019380758279590276,0.021571986600186815,0.12926328744005547,0.05393194204605202,0.043395054083657326,0.03172990326396594,0.10347160746262075,0.051489825353428886
Chi2v,0.03771605812962942,0.014394449714658456,0.09198516502215542,0.014231270555050917,0.03460319528506977,0.04020381701756471,0.8693860291818656,0.05077408753671626,0.058279341130646756,0.07679158627141904
Chi3n,0.38308530348567454,0.18848174752323021,0.12060955478759756,0.07036720691777301,0.9984770344731311,0.11400114447987994,0.1952861688116493,0.07831017029597856,0.20524370630525723,0.11330125212921073
Chi3v,0.11036549599899372,0.14410388360456217,0.07913947234165283,0.0777905265218289,0.08404652526529613,0.033680468839969176,0.12430186666213182,0.05216506985805972,0.06657483875931508,0.11725131203922681
Chi4n,0.0633489870237468,0.033179256525921366,0.06509427495345844,0.013507905081061677,0.06078926816822595,0.1302758395259381,0.20411681646746918,0.11413187074661192,0.04300785076287271,0.04580655364219647
Chi4v,0.04447735839022827,0.01775959871675515,0.06180966614725741,0.09100559376200111,0.062442233355042676,0.06542843065108829,0.046672791693361755,0.02613215587008381,0.09337261524161493,0.042025039612657994
HallKierAlpha,0.02351939175533074,0.009693615260173963,0.03802750279525669,0.020425674791254008,0.03383254167859486,0.10854605046808022,0.06040732682222931,0.054193681799687116,0.029984158415105506,0.021427966627172692
Ipc,0.011583968677780372,0.0029916982784204097,0.0018554556753398632,0.00268308482863456,0.025772165153594664,0.007466613144906445,0.008395704995995502,0.05317596298395038,0.028121557500034727,0.007163935409568745
Kappa1,0.019748995260042902,0.02017161439003238,0.007126889396511338,0.034284093646420696,0.07030522530941424,0.030350233212989897,0.03892963866769808,0.017033222197198772,0.03834043062213155,0.08442946622900338
Kappa2,0.1812370049589766,0.10464017918128461,0.18461351523914343,0.49429422188992495,0.081697867293976,0.17624347518741115,0.2678301946073408,0.06341106199672583,0.13604803026634787,0.048774813855957146
Kappa3,0.39235217239084524,0.20838609543218448,0.2235889897040377,0.8108327481743804,0.14447928833189544,0.1619385952782981,0.04937696306863364,0.05337854832379369,0.5052962966603634,0.2281838451870959
LabuteASA,0.024436284615076884,0.011145404027443203,0.02886545112105622,0.03683425293008191,0.015077181358456612,0.021557615914899176,0.022767413073292535,0.019409423703159165,0.027175612566663905,0.017780163368444724
PEOE_VSA1,0.06257095945569519,0.02704700312993784,0.04705810936688845,0.05763376021918806,0.005113006671829841,0.04206128107633242,0.0430299132662948,0.025106251920206057,0.034554301566995606,0.04256471356319853
